,Week,Lecture_name,Lecture_links
0,Week 0,Overview of linear algebra,https://hello.iitk.ac.in/mth102aa/#/lecture/19
1,Week 0,First Course Handout,https://hello.iitk.ac.in/mth102aa/#/lecture/65
2,Week 1,Lecture 1 part A,https://hello.iitk.ac.in/mth102aa/#/lecture/5
3,Week 1,Lecture 1 part B,https://hello.iitk.ac.in/mth102aa/#/lecture/6
4,Week 1,Lecture 2 part A,https://hello.iitk.ac.in/mth102aa/#/lecture/7
5,Week 1,Lecture 2 part B,https://hello.iitk.ac.in/mth102aa/#/lecture/8
6,Week 1,Assignment-1,https://hello.iitk.ac.in/mth102aa/#/lecture/17
7,Week 1,Assignment1 discussion-part A,https://hello.iitk.ac.in/mth102aa/#/lecture/13
8,Week 1,Assignment1 discussion -part B,https://hello.iitk.ac.in/mth102aa/#/lecture/14
9,Week 2,Lecture 3 part A,https://hello.iitk.ac.in/mth102aa/#/lecture/9
10,Week 2,Lecture 3 part B,https://hello.iitk.ac.in/mth102aa/#/lecture/10
11,Week 2,Lecture 4 part A,https://hello.iitk.ac.in/mth102aa/#/lecture/11
12,Week 2,Lecture 4 part B,https://hello.iitk.ac.in/mth102aa/#/lecture/12
13,Week 2,Assignment-2,https://hello.iitk.ac.in/mth102aa/#/lecture/18
14,Week 2,Assignment2 discussion-part A,https://hello.iitk.ac.in/mth102aa/#/lecture/15
15,Week 2,Assignment2 discussion -part B,https://hello.iitk.ac.in/mth102aa/#/lecture/16
16,Week 3,Lecture 5 part A,https://hello.iitk.ac.in/mth102aa/#/lecture/20
17,Week 3,Lecture 5 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/21
18,Week 3,Lecture 6 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/22
19,Week 3,Lecture 6 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/23
20,Week 3,Lecture 7 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/24
21,Week 3,Lecture 7 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/25
22,Week 3,Assignment 3,https://hello.iitk.ac.in/mth102aa/#/lecture/60
23,Week 3,Assignment 3 discussion-part A,https://hello.iitk.ac.in/mth102aa/#/lecture/62
24,Week 3,Assignment-3 discussion Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/63
25,Week 4,Lecture 8 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/26
26,Week 4,Lecture 8 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/27
27,Week 4,Lecture 9 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/28
28,Week 4,Lecture 9 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/29
29,Week 4,Lecture 10 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/30
30,Week 4,Lecture 10 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/107
31,Week 4,Assignment 4,https://hello.iitk.ac.in/mth102aa/#/lecture/100
32,Week 4,Assignment4 discussion-part A,https://hello.iitk.ac.in/mth102aa/#/lecture/103
33,Week 4,Assignment4 discussion -part B,https://hello.iitk.ac.in/mth102aa/#/lecture/104
34,Week 4,First Quiz Solutions,https://hello.iitk.ac.in/mth102aa/#/lecture/131
35,Week 5,Lecture 11 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/32
36,Week 5,Assignment 5 discussion-part C,https://hello.iitk.ac.in/mth102aa/#/lecture/128
37,Week 5,Lecture 11 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/121
38,Week 5,Lecture 12 Part A,https://hello.iitk.ac.in/mth102aa/#/lecture/34
39,Week 5,Lecture 12 Part B,https://hello.iitk.ac.in/mth102aa/#/lecture/35
